"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Benton","GRANDVIEW SCHOOL DISTRICT NO. 200 Proposition No. 1","Yes"," ","33","58.9286","School"
"Benton","GRANDVIEW SCHOOL DISTRICT NO. 200 Proposition No. 1","No"," ","23","41.0714","School"
"Benton","PROSSER CONSOLIDATED SCHOOL DISTRICT 116 REPLACEMENT OF EXPIRING MAINTENANCE, OPERATION AND EDUCATIONAL PROGRAMS LEVY","LEVY YES"," ","1306","51.1956","School"
"Benton","PROSSER CONSOLIDATED SCHOOL DISTRICT 116 REPLACEMENT OF EXPIRING MAINTENANCE, OPERATION AND EDUCATIONAL PROGRAMS LEVY","LEVY NO"," ","1245","48.8044","School"
"Benton","Finley School District 53 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY YES"," ","396","47.482","School"
"Benton","Finley School District 53 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY NO"," ","438","52.518","School"
"Benton","Kennewick School District 17 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATIONS LEVY","LEVY YES"," ","8029","48.9722","School"
"Benton","Kennewick School District 17 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATIONS LEVY","LEVY NO"," ","8366","51.0278","School"
"Clark","EVERGREEN SCHOOL DISTRICT NO. 114 Proposition No. 6","Levy, Yes"," ","16844","54.4338","School"
"Clark","EVERGREEN SCHOOL DISTRICT NO. 114 Proposition No. 6","Levy, No"," ","14100","45.5662","School"
"Clark","RIDGEFIELD SCHOOL DISTRICT NO. 122 Proposition No. 8","Approved"," ","5148","59.1656","School"
"Clark","RIDGEFIELD SCHOOL DISTRICT NO. 122 Proposition No. 8","Rejected"," ","3553","40.8344","School"
"Cowlitz","Longview School District No. 122 Proposition 1, Replacement Capital Projects and Technology Levy","Yes"," ","5070","53.9706","School"
"Cowlitz","Longview School District No. 122 Proposition 1, Replacement Capital Projects and Technology Levy","No"," ","4324","46.0294","School"
"Ferry","SCHOOL DISTRICT 309 PROPOSITION NO. 1","Levy Yes"," ","871","69.68","School"
"Ferry","SCHOOL DISTRICT 309 PROPOSITION NO. 1","Levy No"," ","379","30.32","School"
"Franklin","PASCO PUBLIC FACILITIES DISTRICT Proposition 1","Yes"," ","4166","55.0694","Other"
"Franklin","PASCO PUBLIC FACILITIES DISTRICT Proposition 1","No"," ","3399","44.9306","Other"
"Grant","WAHLUKE SCHOOL DISTRICT NO. 73 Proposition No. 1","LEVY YES"," ","372","55.0296","School"
"Grant","WAHLUKE SCHOOL DISTRICT NO. 73 Proposition No. 1","LEVY NO"," ","304","44.9704","School"
"Island","STANWOOD-CAMANO SCHOOL DISTRICT NO. 401 Proposition No. 1","Yes"," ","2917","45.3161","School"
"Island","STANWOOD-CAMANO SCHOOL DISTRICT NO. 401 Proposition No. 1","No"," ","3520","54.6839","School"
"Jefferson","QUILCENE SCHOOL DISTRICT NO. 48 Proposition No. 1","Approved"," ","479","48.9775","School"
"Jefferson","QUILCENE SCHOOL DISTRICT NO. 48 Proposition No. 1","Rejected"," ","499","51.0225","School"
"King","Issaquah School District No. 411 Proposition No. 1","Yes"," ","12585","54.5892","School"
"King","Issaquah School District No. 411 Proposition No. 1","No"," ","10469","45.4108","School"
"King","Issaquah School District No. 411 Proposition No. 2","Yes"," ","11921","51.6732","School"
"King","Issaquah School District No. 411 Proposition No. 2","No"," ","11149","48.3268","School"
"King","Issaquah School District No. 411 Proposition No. 3","Yes"," ","14160","62.2773","School"
"King","Issaquah School District No. 411 Proposition No. 3","No"," ","8577","37.7227","School"
"Kitsap","Central Kitsap School District No. 401 Proposition No. 1","Yes"," ","8404","50.4745","School"
"Kitsap","Central Kitsap School District No. 401 Proposition No. 1","No"," ","8246","49.5255","School"
"Klickitat","Prosser Consolidated School District 116 REPLACEMENT OF EXPIRING MAINTENANCE, OPERATION AND EDUCATIONAL PROGRAMS LEVY","LEVY YES"," ","8","36.3636","School"
"Klickitat","Prosser Consolidated School District 116 REPLACEMENT OF EXPIRING MAINTENANCE, OPERATION AND EDUCATIONAL PROGRAMS LEVY","LEVY NO"," ","14","63.6364","School"
"Mason","FIRE PROTECTION DIST 18 Emergency Medical Services Property Tax Levy","Levy...Yes"," ","732","82.3397","Fire"
"Mason","FIRE PROTECTION DIST 18 Emergency Medical Services Property Tax Levy","Levy...No"," ","157","17.6603","Fire"
"Mason","SOUTHSIDE SCHOOL 42 Replacement Educational Programs and Operations Levy","Levy...Yes"," ","239","44.6729","School"
"Mason","SOUTHSIDE SCHOOL 42 Replacement Educational Programs and Operations Levy","Levy...No"," ","296","55.3271","School"
"Okanogan","SCHOOL DISTRICT 309 PROPOSITION NO. 1","Levy Yes"," ","15","46.875","School"
"Okanogan","SCHOOL DISTRICT 309 PROPOSITION NO. 1","Levy No"," ","17","53.125","School"
"Pacific","SCHOOL DISTRICT #101 BONDS TO RENOVATE AND CONSTRUCT SCHOOL FACILITIES","Approved"," ","1237","24.2501","School"
"Pacific","SCHOOL DISTRICT #101 BONDS TO RENOVATE AND CONSTRUCT SCHOOL FACILITIES","Rejected"," ","3864","75.7499","School"
"Pierce","BETHEL SCHOOL DISTRICT NO. 403 Proposition No. 1","Yes"," ","13127","56.3705","School"
"Pierce","BETHEL SCHOOL DISTRICT NO. 403 Proposition No. 1","No"," ","10160","43.6295","School"
"Pierce","BETHEL SCHOOL DISTRICT NO. 403 Proposition No. 2","Yes"," ","13386","57.281","School"
"Pierce","BETHEL SCHOOL DISTRICT NO. 403 Proposition No. 2","No"," ","9983","42.719","School"
"Snohomish","CITY OF MILL CREEK Proposition No. 1","Yes"," ","2636","75.422","City/Town"
"Snohomish","CITY OF MILL CREEK Proposition No. 1","No"," ","859","24.578","City/Town"
"Snohomish","GRANITE FALLS SCHOOL DISTRICT NO. 332 Proposition No. 1","Levy Yes"," ","1868","50.9825","School"
"Snohomish","GRANITE FALLS SCHOOL DISTRICT NO. 332 Proposition No. 1","Levy No"," ","1796","49.0175","School"
"Snohomish","GRANITE FALLS SCHOOL DISTRICT NO. 332 Proposition No. 2","Levy Yes"," ","1925","52.5095","School"
"Snohomish","GRANITE FALLS SCHOOL DISTRICT NO. 332 Proposition No. 2","Levy No"," ","1741","47.4905","School"
"Snohomish","LAKEWOOD SCHOOL DISTRICT NO. 306 Proposition No. 1","Yes"," ","1387","44.186","School"
"Snohomish","LAKEWOOD SCHOOL DISTRICT NO. 306 Proposition No. 1","No"," ","1752","55.814","School"
"Snohomish","MARYSVILLE SCHOOL DISTRICT NO. 25 Proposition No. 1","Yes"," ","5893","45.7602","School"
"Snohomish","MARYSVILLE SCHOOL DISTRICT NO. 25 Proposition No. 1","No"," ","6985","54.2398","School"
"Snohomish","MARYSVILLE SCHOOL DISTRICT NO. 25 Proposition No. 2","Yes"," ","6164","47.8237","School"
"Snohomish","MARYSVILLE SCHOOL DISTRICT NO. 25 Proposition No. 2","No"," ","6725","52.1763","School"
"Snohomish","STANWOOD-CAMANO SCHOOL DISTRICT NO. 401 Proposition No. 1","Yes"," ","2448","50.3186","School"
