"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","  Referendum Measure No. 88","Approved","","838","31.374","State Executive"
"Adams","  Referendum Measure No. 88","Rejected","","1833","68.626","State Executive"
"Adams","  Initiative Measure No. 976","Yes","","2030","70.9294","State Executive"
"Adams","  Initiative Measure No. 976","No","","832","29.0706","State Executive"
"Adams","  Advisory Vote No. 20","Repealed","","2356","84.8092","State Executive"
"Adams","  Advisory Vote No. 20","Maintained","","422","15.1908","State Executive"
"Adams","  Advisory Vote No. 21","Repealed","","2195","78.3929","State Executive"
"Adams","  Advisory Vote No. 21","Maintained","","605","21.6071","State Executive"
"Adams","  Advisory Vote No. 22","Repealed","","2385","85.4532","State Executive"
"Adams","  Advisory Vote No. 22","Maintained","","406","14.5468","State Executive"
"Adams","  Advisory Vote No. 23","Repealed","","1442","51.2802","State Executive"
"Adams","  Advisory Vote No. 23","Maintained","","1370","48.7198","State Executive"
"Adams","  Advisory Vote No. 24","Repealed","","2375","85.6164","State Executive"
"Adams","  Advisory Vote No. 24","Maintained","","399","14.3836","State Executive"
"Adams","  Advisory Vote No. 25","Repealed","","2252","81.1239","State Executive"
"Adams","  Advisory Vote No. 25","Maintained","","524","18.8761","State Executive"
"Adams","  Advisory Vote No. 26","Repealed","","2178","78.4017","State Executive"
"Adams","  Advisory Vote No. 26","Maintained","","600","21.5983","State Executive"
"Adams","  Advisory Vote No. 27","Repealed","","2476","88.0512","State Executive"
"Adams","  Advisory Vote No. 27","Maintained","","336","11.9488","State Executive"
"Adams","  Advisory Vote No. 28","Repealed","","1905","68.3776","State Executive"
"Adams","  Advisory Vote No. 28","Maintained","","881","31.6224","State Executive"
"Adams","  Advisory Vote No. 29","Repealed","","2447","87.1749","State Executive"
"Adams","  Advisory Vote No. 29","Maintained","","360","12.8251","State Executive"
"Adams","  Advisory Vote No. 30","Repealed","","2191","78.728","State Executive"
"Adams","  Advisory Vote No. 30","Maintained","","592","21.272","State Executive"
"Adams","  Advisory Vote No. 31","Repealed","","1934","69.6435","State Executive"
"Adams","  Advisory Vote No. 31","Maintained","","843","30.3565","State Executive"
"Adams","  Proposed Amendments to the Constitution - Senate Joint Resolution No. 8200","Approved","","1343","48.4663","State Executive"
"Adams","  Proposed Amendments to the Constitution - Senate Joint Resolution No. 8200","Rejected","","1428","51.5337","State Executive"
"Adams","  PORT DISTRICT 1 Commissioner District 2","Gary Weaver","","1317","96.8382","Port"
"Adams","  PORT DISTRICT 1 Commissioner District 2","WRITE-IN","","43","3.1618","Port"
"Adams","  PORT DISTRICT 1 Commissioner District 3","Deena Vietzke","","1305","98.4906","Port"
"Adams","  PORT DISTRICT 1 Commissioner District 3","WRITE-IN","","20","1.5094","Port"
"Adams","  HOSPITAL DISTRICT 2 Commissioner Position 2","Jerry Crossler","","920","96.1338","Hospital"
"Adams","  HOSPITAL DISTRICT 2 Commissioner Position 2","WRITE-IN","","37","3.8662","Hospital"
"Adams","  HOSPITAL DISTRICT 3 Commissioner Position 2","Donna Reichert","","775","48.6198","Hospital"
"Adams","  HOSPITAL DISTRICT 3 Commissioner Position 2","Gayle Bohannan","","810","50.8156","Hospital"
"Adams","  HOSPITAL DISTRICT 3 Commissioner Position 2","WRITE-IN","","9","0.5646","Hospital"
"Adams","  HOSPITAL DISTRICT 3 Commissioner Position 4","Shirley McCullough","","1362","98.2684","Hospital"
"Adams","  HOSPITAL DISTRICT 3 Commissioner Position 4","WRITE-IN","","24","1.7316","Hospital"
