"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Chelan","HOSPITAL DIST NO 2 LAKE CHELAN HOSPITAL COMMISSIONER #05","Kathy Jo Porter","","292","12.7678","Public Hospital"
"Chelan","HOSPITAL DIST NO 2 LAKE CHELAN HOSPITAL COMMISSIONER #05","Jerry Isenhart","","957","41.8452","Public Hospital"
"Chelan","HOSPITAL DIST NO 2 LAKE CHELAN HOSPITAL COMMISSIONER #05","Phyllis Gleasman","","1038","45.387","Public Hospital"
"Clallam","CITY OF FORKS Council Position No. 3","Mike Gilstrap","","123","36.0704","City/Town"
"Clallam","CITY OF FORKS Council Position No. 3","Joe Soha","","134","39.2962","City/Town"
"Clallam","CITY OF FORKS Council Position No. 3","William Paul","","84","24.6334","City/Town"
"Clallam","CITY OF PORT ANGELES Council Position No. 1","Todd Negus","","1228","34.1016","City/Town"
"Clallam","CITY OF PORT ANGELES Council Position No. 1","James (Jim) Moran","","1635","45.4041","City/Town"
"Clallam","CITY OF PORT ANGELES Council Position No. 1","Marolee Smith","","738","20.4943","City/Town"
"Clallam","CITY OF PORT ANGELES Council Position No. 2","Lee Whetham","","1003","26.8685","City/Town"
"Clallam","CITY OF PORT ANGELES Council Position No. 2","Mike French","","1449","38.816","City/Town"
"Clallam","CITY OF PORT ANGELES Council Position No. 2","Jacob Oppelt","","1281","34.3156","City/Town"
"Clallam","CITY OF PORT ANGELES CITY OF PORT ANGELES TRANSPORTATION BENEFIT DISTRICT Proposition No. 1  SALES AND USE TAX FOR TRANSPORTATION IMPROVEMENTS","YES","","2626","67.8553","City/Town"
"Clallam","CITY OF PORT ANGELES CITY OF PORT ANGELES TRANSPORTATION BENEFIT DISTRICT Proposition No. 1  SALES AND USE TAX FOR TRANSPORTATION IMPROVEMENTS","NO","","1244","32.1447","City/Town"
"Clallam","FIRE DISTRICT 2 Commissioner Position No. 1","Allen Hunt","","184","13.8138","Fire"
