"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","ODESSA SCHOOL DISTRICT 105 Proposition No. 1","LEVY   YES"," ","13","56.5217","School"
"Adams","ODESSA SCHOOL DISTRICT 105 Proposition No. 1","LEVY   NO"," ","10","43.4783","School"
"Adams","LACROSSE SCHOOL DISTRICT - 126 Replacement Educational Programs and Operation Levy","Levy, Yes"," ","0","0","School"
"Adams","LACROSSE SCHOOL DISTRICT - 126 Replacement Educational Programs and Operation Levy","Levy, No"," ","0","0","School"
"Adams","NORTH FRANKLIN SCHOOL DISTRICT NO. J51-162 Replacement of Expiring Educational Programs and Operation Levy","Levy Yes"," ","17","73.913","School"
"Adams","NORTH FRANKLIN SCHOOL DISTRICT NO. J51-162 Replacement of Expiring Educational Programs and Operation Levy","Levy No"," ","6","26.087","School"
"Adams","ODESSA SCHOOL DISTRICT 105 Proposition No. 2","LEVY   YES"," ","13","54.1667","School"
"Adams","ODESSA SCHOOL DISTRICT 105 Proposition No. 2","LEVY   NO"," ","11","45.8333","School"
"Adams","ENDICOTT SCHOOL DISTRICT - 308 Educational Programs and Operation Replacement Levy","Levy, Yes"," ","0","0","School"
"Adams","ENDICOTT SCHOOL DISTRICT - 308 Educational Programs and Operation Replacement Levy","Levy, No"," ","0","0","School"
"Adams","ENDICOTT SCHOOL DISTRICT - 308 Replacement Capital Levy For Health, Safety and Facilities Improvements","Levy, Yes"," ","0","0","School"
"Adams","ENDICOTT SCHOOL DISTRICT - 308 Replacement Capital Levy For Health, Safety and Facilities Improvements","Levy, No"," ","0","0","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Proposition No. 1","Levy, Yes"," ","81","74.3119","School"
"Adams","SCHOOL DISTRICT 109 - WASHTUCNA Proposition No. 1","Levy, No"," ","28","25.6881","School"
"Adams","SCHOOL DISTRICT 122 - BENGE Proposition No. 1","Levy, Yes"," ","15","93.75","School"
"Adams","SCHOOL DISTRICT 122 - BENGE Proposition No. 1","Levy, No"," ","1","6.25","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Proposition No. 1","Approved"," ","625","46.365","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Proposition No. 1","Rejected"," ","723","53.635","School"
"Adams","SCHOOL DISTRICT 158 - LIND Proposition No. 1","Levy, Yes"," ","142","65.7407","School"
"Adams","SCHOOL DISTRICT 158 - LIND Proposition No. 1","Levy, No"," ","74","34.2593","School"
"Adams","SCHOOL DISTRICT 158 - LIND Proposition No. 2","Levy, Yes"," ","148","68.5185","School"
"Adams","SCHOOL DISTRICT 158 - LIND Proposition No. 2","Levy, No"," ","68","31.4815","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Proposition No. 1","Levy, Yes"," ","420","61.3139","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Proposition No. 1","Levy, No"," ","265","38.6861","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Proposition No. 2","Levy, Yes"," ","416","61.4476","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Proposition No. 2","Levy, No"," ","261","38.5524","School"
"Adams","Warden School Dist #146 Proposition No. 1","LEVY... YES"," ","8","53.3333","School"
"Adams","Warden School Dist #146 Proposition No. 1","LEVY... NO"," ","7","46.6667","School"
"Adams","Warden School Dist #146 Proposition No. 2","LEVY... YES"," ","7","50","School"
"Adams","Warden School Dist #146 Proposition No. 2","LEVY... NO"," ","7","50","School"
"Asotin","SCHOOL DISTRICT 250 Replacement of Expiring School Programs and Operations Levy","Yes, Levy"," ","2161","51.4524","School"
"Asotin","SCHOOL DISTRICT 250 Replacement of Expiring School Programs and Operations Levy","No, Levy"," ","2039","48.5476","School"
"Benton","GRANDVIEW SCHOOL DISTRICT NO. 200 Proposition No. 1","Yes"," ","27","50","School"
"Benton","GRANDVIEW SCHOOL DISTRICT NO. 200 Proposition No. 1","No"," ","27","50","School"
"Benton","Kennewick School District 17 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATIONS LEVY","LEVY YES"," ","7957","49.0114","School"
"Benton","Kennewick School District 17 REPLACEMENT EDUCATIONAL PROGRAMS AND OPERATIONS LEVY","LEVY NO"," ","8278","50.9886","School"
"Benton","Prosser Consolidated School District 116 REPLACEMENT OF EXPIRING MAINTENANCE, OPERATION EDUCATIONAL PROGRAMS LEVY","Levy Yes"," ","987","45.9711","School"
"Benton","Prosser Consolidated School District 116 REPLACEMENT OF EXPIRING MAINTENANCE, OPERATION EDUCATIONAL PROGRAMS LEVY","Levy No"," ","1160","54.0289","School"
"Benton","KENNEWICK SCHOOL DISTRICT 17 REPLACEMENT LEVY FOR INSTRUCTIONAL TECHNOLOGY IMPROVEMENTS","LEVY YES"," ","8530","52.2768","School"
"Benton","KENNEWICK SCHOOL DISTRICT 17 REPLACEMENT LEVY FOR INSTRUCTIONAL TECHNOLOGY IMPROVEMENTS","LEVY NO"," ","7787","47.7232","School"
"Benton","Richland School District 400 REPLACEMENT OF EXPIRING EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY YES"," ","8925","54.0975","School"
"Benton","Richland School District 400 REPLACEMENT OF EXPIRING EDUCATIONAL PROGRAMS AND OPERATION LEVY","LEVY NO"," ","7573","45.9025","School"
"Benton","Richland School District 400 REPLACEMENT OF EXPIRING INSTRUCTIONAL TECHNOLOGY IMPROVEMENTS LEVY","LEVY YES"," ","9154","55.4116","School"
"Benton","Richland School District 400 REPLACEMENT OF EXPIRING INSTRUCTIONAL TECHNOLOGY IMPROVEMENTS LEVY","LEVY NO"," ","7366","44.5884","School"
"Benton","FINLEY SCHOOL DISTRICT 53 REPLACEMENT EDUCATIONAL PROGRAM AND OPERATIONS LEVY","LEVY YES"," ","367","49.2617","School"
"Benton","FINLEY SCHOOL DISTRICT 53 REPLACEMENT EDUCATIONAL PROGRAM AND OPERATIONS LEVY","LEVY NO"," ","378","50.7383","School"
"Chelan","PATEROS SCHOOL 122-70J Pateros School District No. 122-70J Replacement Educational Programs and Operation Levy","Levy...Yes"," ","8","88.8889","School"
"Chelan","PATEROS SCHOOL 122-70J Pateros School District No. 122-70J Replacement Educational Programs and Operation Levy","Levy...No"," ","1","11.1111","School"
