"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.","Yes","","834","19.8761","State Executive"
"Adams","State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.","No","","3362","80.1239","State Executive"
"Adams","State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ","Yes","","2865","67.9877","State Executive"
"Adams","State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ","No","","1349","32.0123","State Executive"
"Adams","State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.","Yes","","1499","35.5466","State Executive"
"Adams","State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.","No","","2718","64.4534","State Executive"
"Adams","State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.","Yes","","1852","44.4871","State Executive"
"Adams","State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.","No","","2311","55.5129","State Executive"
"Adams","Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269","Repealed","","3138","78.6269","State Executive"
"Adams","Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269","Maintained","","853","21.3731","State Executive"
"Adams","ADAMS COUNTY Special Election Proposition 1 Adams County Sales and Use Tax","Approved","","2108","50.8442","County"
"Adams","ADAMS COUNTY Special Election Proposition 1 Adams County Sales and Use Tax","Rejected","","2038","49.1558","County"
"Adams","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","1365","32.2543","Federal"
"Adams","United States U.S. Senator","Susan Hutchison","(Prefers Republican Party)","2867","67.7457","Federal"
"Adams","Congressional District 4 U.S. Representative","Dan Newhouse","(Prefers Republican Party)","3116","73.8389","Congressional"
"Adams","Congressional District 4 U.S. Representative","Christine Brown","(Prefers Democratic Party)","1104","26.1611","Congressional"
"Adams","Legislative District 9 State Representative Pos. 1","Mary Dye","(Prefers Republican Party)","3134","74.815","Legislative"
"Adams","Legislative District 9 State Representative Pos. 1","Jenn Goulet","(Prefers Democratic Party)","1055","25.185","Legislative"
"Adams","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers GOP Party)","2955","71.2907","Legislative"
"Adams","Legislative District 9 State Representative Pos. 2","Matthew Sutherland","(Prefers Democratic Party)","1190","28.7093","Legislative"
"Adams","ADAMS COUNTY Assessor","Sherri L Brewer","(Prefers Republican Party)","3507","100","County"
"Adams","ADAMS COUNTY Auditor","Heidi K. Hunt","(Prefers Republican Party)","3527","100","County"
"Adams","ADAMS COUNTY Clerk","Paulette J. Teske","(Prefers Republican Party)","3429","100","County"
"Adams","ADAMS COUNTY County Commissioner District 3","Terry Thompson","(Prefers Republican Party)","2177","56.8704","County"
"Adams","ADAMS COUNTY County Commissioner District 3","Miguel A. &quot;Mike&quot; Garza","(Prefers Republican Party)","1651","43.1296","County"
"Adams","ADAMS COUNTY Prosecutor","Randy J. Flyckt","(Prefers Republican Party)","3334","100","County"
"Adams","ADAMS COUNTY Sheriff","Dale J. Wagner","(Prefers Republican Party)","3424","100","County"
"Adams","ADAMS COUNTY Treasurer","Kayla M. Meise","(Prefers Republican Party)","2261","61.5238","County"
"Adams","ADAMS COUNTY Treasurer","Janet L. Manke","(Prefers Republican Party)","1414","38.4762","County"
"Adams","ADAMS COUNTY District Court Judge Position 1","Adalia A. Hille","","3287","100","County"
"Adams","ADAMS COUNTY District Court Judge Position 2","Carolyn J. Benzel","","2989","100","County"
"Adams","Supreme Court Justice Position 2","Susan Owens","","3171","100","Judicial"
"Adams","Supreme Court Justice Position 8","Nathan Choi","","1466","42.4681","Judicial"
"Adams","Supreme Court Justice Position 8","Steve Gonzalez","","1986","57.5319","Judicial"
"Adams","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","3038","100","Judicial"
