"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","United States President Democratic Party","Hillary Clinton ","","398","55.3547","United States"
"Adams","United States President Democratic Party","Bernie Sanders","","321","44.6453","United States"
"Adams","United States President Republican Party","Ben Carson","","83","5.0517","United States"
"Adams","United States President Republican Party","Ted Cruz","","204","12.4163","United States"
"Adams","United States President Republican Party","John R. Kasich","","92","5.5995","United States"
"Adams","United States President Republican Party","Donald J. Trump","","1264","76.9324","United States"
"Asotin","United States President Democratic Party","Hillary Clinton ","","1191","54.8343","United States"
"Asotin","United States President Democratic Party","Bernie Sanders","","981","45.1657","United States"
"Asotin","United States President Republican Party","Ben Carson","","162","5.053","United States"
"Asotin","United States President Republican Party","Ted Cruz","","284","8.8584","United States"
"Asotin","United States President Republican Party","John R. Kasich","","211","6.5814","United States"
"Asotin","United States President Republican Party","Donald J. Trump","","2549","79.5072","United States"
"Benton","United States President Democratic Party","Hillary Clinton ","","6324","50.7993","United States"
"Benton","United States President Democratic Party","Bernie Sanders","","6125","49.2007","United States"
"Benton","United States President Republican Party","Ben Carson","","966","4.4213","United States"
"Benton","United States President Republican Party","Ted Cruz","","2798","12.8061","United States"
"Benton","United States President Republican Party","John R. Kasich","","1699","7.7761","United States"
"Benton","United States President Republican Party","Donald J. Trump","","16386","74.9966","United States"
"Chelan","United States President Democratic Party","Hillary Clinton ","","3471","52.4796","United States"
"Chelan","United States President Democratic Party","Bernie Sanders","","3143","47.5204","United States"
"Chelan","United States President Republican Party","Ben Carson","","432","4.405","United States"
"Chelan","United States President Republican Party","Ted Cruz","","946","9.6462","United States"
"Chelan","United States President Republican Party","John R. Kasich","","851","8.6775","United States"
"Chelan","United States President Republican Party","Donald J. Trump","","7578","77.2713","United States"
"Clallam","United States President Democratic Party","Hillary Clinton ","","5537","50.1904","United States"
"Clallam","United States President Democratic Party","Bernie Sanders","","5495","49.8096","United States"
"Clallam","United States President Republican Party","Ben Carson","","460","4.4214","United States"
"Clallam","United States President Republican Party","Ted Cruz","","994","9.554","United States"
"Clallam","United States President Republican Party","John R. Kasich","","834","8.0161","United States"
"Clallam","United States President Republican Party","Donald J. Trump","","8116","78.0085","United States"
"Clark","United States President Democratic Party","Hillary Clinton ","","24368","48.6776","United States"
"Clark","United States President Democratic Party","Bernie Sanders","","25692","51.3224","United States"
"Clark","United States President Republican Party","Ben Carson","","1581","3.5368","United States"
"Clark","United States President Republican Party","Ted Cruz","","4688","10.4875","United States"
"Clark","United States President Republican Party","John R. Kasich","","4297","9.6128","United States"
"Clark","United States President Republican Party","Donald J. Trump","","34135","76.3629","United States"
