"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","Washington State President Democratic Party","Michael Bennet","(Prefers DEMOCRATIC Party)","3","0.3268","State Executive"
"Adams","Washington State President Democratic Party","Joseph R. Biden","(Prefers DEMOCRATIC Party)","315","34.3137","State Executive"
"Adams","Washington State President Democratic Party","Michael Bloomberg","(Prefers DEMOCRATIC Party)","131","14.2702","State Executive"
"Adams","Washington State President Democratic Party","Cory Booker","(Prefers DEMOCRATIC Party)","0","0","State Executive"
"Adams","Washington State President Democratic Party","Pete Buttigieg","(Prefers DEMOCRATIC Party)","26","2.8322","State Executive"
"Adams","Washington State President Democratic Party","John Delaney","(Prefers DEMOCRATIC Party)","5","0.5447","State Executive"
"Adams","Washington State President Democratic Party","Tulsi Gabbard","(Prefers DEMOCRATIC Party)","11","1.1983","State Executive"
"Adams","Washington State President Democratic Party","Amy Klobuchar","(Prefers DEMOCRATIC Party)","24","2.6144","State Executive"
"Adams","Washington State President Democratic Party","Deval Patrick","(Prefers DEMOCRATIC Party)","1","0.1089","State Executive"
"Adams","Washington State President Democratic Party","Bernie Sanders","(Prefers DEMOCRATIC Party)","322","35.0763","State Executive"
"Adams","Washington State President Democratic Party","Tom Steyer","(Prefers DEMOCRATIC Party)","6","0.6536","State Executive"
"Adams","Washington State President Democratic Party","Elizabeth Warren","(Prefers DEMOCRATIC Party)","60","6.5359","State Executive"
"Adams","Washington State President Democratic Party","Andrew Yang","(Prefers DEMOCRATIC Party)","7","0.7625","State Executive"
"Adams","Washington State President Democratic Party","Uncommitted Delegates","(Prefers DEMOCRATIC Party)","7","0.7625","State Executive"
"Adams","Washington State President Democratic Party","Write-in"," ","0","0","State Executive"
"Adams","Washington State President Republican Party","Donald J. Trump","(Prefers REPUBLICAN Party)","1928","100","State Executive"
"Adams","Washington State President Republican Party","Write-in"," ","0","0","State Executive"
"Asotin","Washington State President Democratic Party","Michael Bennet","(Prefers DEMOCRATIC Party)","4","0.1383","State Executive"
"Asotin","Washington State President Democratic Party","Joseph R. Biden","(Prefers DEMOCRATIC Party)","1148","39.6957","State Executive"
"Asotin","Washington State President Democratic Party","Michael Bloomberg","(Prefers DEMOCRATIC Party)","414","14.3154","State Executive"
"Asotin","Washington State President Democratic Party","Cory Booker","(Prefers DEMOCRATIC Party)","4","0.1383","State Executive"
"Asotin","Washington State President Democratic Party","Pete Buttigieg","(Prefers DEMOCRATIC Party)","177","6.1203","State Executive"
"Asotin","Washington State President Democratic Party","John Delaney","(Prefers DEMOCRATIC Party)","3","0.1037","State Executive"
"Asotin","Washington State President Democratic Party","Tulsi Gabbard","(Prefers DEMOCRATIC Party)","41","1.4177","State Executive"
"Asotin","Washington State President Democratic Party","Amy Klobuchar","(Prefers DEMOCRATIC Party)","91","3.1466","State Executive"
"Asotin","Washington State President Democratic Party","Deval Patrick","(Prefers DEMOCRATIC Party)","2","0.0692","State Executive"
"Asotin","Washington State President Democratic Party","Bernie Sanders","(Prefers DEMOCRATIC Party)","730","25.242","State Executive"
"Asotin","Washington State President Democratic Party","Tom Steyer","(Prefers DEMOCRATIC Party)","19","0.657","State Executive"
"Asotin","Washington State President Democratic Party","Elizabeth Warren","(Prefers DEMOCRATIC Party)","203","7.0194","State Executive"
"Asotin","Washington State President Democratic Party","Andrew Yang","(Prefers DEMOCRATIC Party)","20","0.6916","State Executive"
"Asotin","Washington State President Democratic Party","Uncommitted Delegates","(Prefers DEMOCRATIC Party)","28","0.9682","State Executive"
"Asotin","Washington State President Democratic Party","Write-in"," ","8","0.2766","State Executive"
"Asotin","Washington State President Republican Party","Donald J. Trump","(Prefers REPUBLICAN Party)","3771","98.6656","State Executive"
"Asotin","Washington State President Republican Party","Write-in"," ","51","1.3344","State Executive"
"Benton","Washington State President Democratic Party","Michael Bennet","(Prefers DEMOCRATIC Party)","41","0.1774","State Executive"
"Benton","Washington State President Democratic Party","Joseph R. Biden","(Prefers DEMOCRATIC Party)","9003","38.9521","State Executive"
"Benton","Washington State President Democratic Party","Michael Bloomberg","(Prefers DEMOCRATIC Party)","2329","10.0766","State Executive"
"Benton","Washington State President Democratic Party","Cory Booker","(Prefers DEMOCRATIC Party)","31","0.1341","State Executive"
"Benton","Washington State President Democratic Party","Pete Buttigieg","(Prefers DEMOCRATIC Party)","1165","5.0405","State Executive"
"Benton","Washington State President Democratic Party","John Delaney","(Prefers DEMOCRATIC Party)","20","0.0865","State Executive"
"Benton","Washington State President Democratic Party","Tulsi Gabbard","(Prefers DEMOCRATIC Party)","343","1.484","State Executive"
"Benton","Washington State President Democratic Party","Amy Klobuchar","(Prefers DEMOCRATIC Party)","619","2.6781","State Executive"
"Benton","Washington State President Democratic Party","Deval Patrick","(Prefers DEMOCRATIC Party)","10","0.0433","State Executive"
"Benton","Washington State President Democratic Party","Bernie Sanders","(Prefers DEMOCRATIC Party)","7458","32.2676","State Executive"
"Benton","Washington State President Democratic Party","Tom Steyer","(Prefers DEMOCRATIC Party)","85","0.3678","State Executive"
"Benton","Washington State President Democratic Party","Elizabeth Warren","(Prefers DEMOCRATIC Party)","1654","7.1561","State Executive"
"Benton","Washington State President Democratic Party","Andrew Yang","(Prefers DEMOCRATIC Party)","121","0.5235","State Executive"
"Benton","Washington State President Democratic Party","Uncommitted Delegates","(Prefers DEMOCRATIC Party)","167","0.7225","State Executive"
"Benton","Washington State President Democratic Party","Write-in"," ","67","0.2899","State Executive"
"Benton","Washington State President Republican Party","Donald J. Trump","(Prefers REPUBLICAN Party)","27055","98.3389","State Executive"
"Benton","Washington State President Republican Party","Write-in"," ","457","1.6611","State Executive"
"Chelan","Washington State President Democratic Party","Michael Bennet","(Prefers DEMOCRATIC Party)","29","0.2314","State Executive"
"Chelan","Washington State President Democratic Party","Joseph R. Biden","(Prefers DEMOCRATIC Party)","4813","38.4118","State Executive"
"Chelan","Washington State President Democratic Party","Michael Bloomberg","(Prefers DEMOCRATIC Party)","1171","9.3456","State Executive"
"Chelan","Washington State President Democratic Party","Cory Booker","(Prefers DEMOCRATIC Party)","12","0.0958","State Executive"
"Chelan","Washington State President Democratic Party","Pete Buttigieg","(Prefers DEMOCRATIC Party)","663","5.2913","State Executive"
"Chelan","Washington State President Democratic Party","John Delaney","(Prefers DEMOCRATIC Party)","3","0.0239","State Executive"
"Chelan","Washington State President Democratic Party","Tulsi Gabbard","(Prefers DEMOCRATIC Party)","134","1.0694","State Executive"
